Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Ayrton Lucas,br BRA,DF,24,31,28,2560,28.4,2,6,2,0,0,4,0,0.07,0.21,0.28,0.07,0.28,1.6,1.6,3.0,4.6,0.06,0.10,0.16,0.06,0.16,Matches,db90b737
Matheuzinho,br BRA,DF,21,28,23,2153,23.9,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,1.4,1.4,4.7,6.2,0.06,0.20,0.26,0.06,0.26,Matches,2a5bc0cd
Gabriel Barbosa,br BRA,FW,25,29,22,2047,22.7,11,1,10,1,3,11,1,0.48,0.04,0.53,0.44,0.48,11.1,8.7,4.6,13.3,0.49,0.20,0.69,0.38,0.59,Matches,72d0e1b6
Pablo,br BRA,DF,30,23,22,1947,21.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.6,1.9,0.06,0.03,0.09,0.06,0.09,Matches,29d8ad3f
João Gomes,br BRA,MF,20,29,22,1880,20.9,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,1.0,1.0,0.9,1.9,0.05,0.04,0.09,0.05,0.09,Matches,8b57ad2c
Everton Ribeiro,br BRA,MFFW,32,30,19,1787,19.9,2,4,2,0,0,0,0,0.10,0.20,0.30,0.10,0.30,2.7,2.7,4.9,7.6,0.13,0.25,0.38,0.13,0.38,Matches,68fb50a2
Santos,br BRA,GK,31,19,19,1710,19.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b8d0b69c
Thiago Maia,br BRA,MF,24,24,18,1544,17.2,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.02,0.02,0.04,0.02,0.04,Matches,91e58f66
David Luiz,br BRA,DF,34,19,17,1424,15.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.5,0.06,0.03,0.10,0.06,0.10,Matches,c0e27d1a
Victor Hugo,br BRA,MF,17,21,17,1251,13.9,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,2.7,2.7,2.0,4.7,0.20,0.15,0.34,0.20,0.34,Matches,33fca7f7
